Destination,Max_weight,Lettre_prioritaire,Lettre_verte,Lettre_suivie,Ecopli,Recommandé_R1,Recommandé_R2,Recommandé_R3,AR
France,20,"1,28 € (1 red stamps)","1,08 € (1 green stamps)","1,56 €","1,06 € (1 grey stamps)","4,40 €","5,20 €","6,40 €","1,15"
France,50,"2,56 € (2 red stamps)","2,16 € (2 green stamps)","2,64 €","2,12 € (2 grey stamps)","5,00 €","5,75 €","6,90 €","1,15"
France,100,"2,56 € (2 red stamps)","2,16 € (2 green stamps)","2,64 €","2,12 € (2 grey stamps)","5,65 €","6,40 €","7,50 €","1,15"
France,250,"5,12 € (4 red stamps)","4,32 € (4 green stamps)","4,42 €","4,24 € (4 grey stamps)","6,90 €","7,65 €","8,85 €","1,15"
France,500,"7,68 € (6 red stamps)","6,48 € (6 green stamps)","6,39 €",,"8,10 €","8,80 €","9,90 €","1,15"
France,1000,"10,24 € (7 red stamps)","8,84 € (8 green stamps)","9,12 €",,"9,30 €","10,05 €","11,15 €","1,15"
France,2000,"10,24 € (7 red stamps)","8,84 € (8 green stamps)","9,12 €",,"11,00 €","11,75 €","12,95 €","1,15"
France,3000,"10,24 € (7 red stamps)","8,84 € (8 green stamps)","9,12 €",,"12,20 €","12,90 €","14,10 €","1,15"
International,20,"1,50 €",,"4,00 €",,"6,00 €","7,00 €",,"1,4"
International,50,"3,00 €",,"5,50 €",,"7,50 €","8,50 €",,"1,4"
International,100,"3,00 €",,"5,50 €",,"7,50 €","8,50 €",,"1,4"
International,250,"7,50 €",,"10,00 €",,"12,00 €","13,00 €",,"1,4"
International,500,"12,00 €",,"12,80 €",,"16,50 €","17,50 €",,"1,4"
International,1000,"19,60 €",,"22,10 €",,"24,10 €","25,10 €",,"1,4"
International,2000,"19,60 €",,"22,10 €",,"24,10 €","25,10 €",,"1,4"
International,3000,"33,50 €",,"36,00 €",,,,,"1,4"
